編號,公布日期,證券代號,證券名稱,處置起訖時間,處置原因,處置內容,收盤價,本益比
"745","111/08/25","4743","合一","111/08/26~111/09/08","因連續3個營業日達本中心作業要點第四條第一項第一款","合一生技股份有限公司股票(代號：4743)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月26日起10個營業日(111年08月26日至111年09月08日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","260.00","148.57"
"746","111/08/25","4768","晶呈科技","111/08/26~111/09/08","連續5個營業日","晶呈科技股份有限公司股票(代號：4768)因連續5個營業日經本中心公布注意交易資訊，爰自111年08月26日起10個營業日(111年08月26日至111年09月08日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","170.50","68.75"
"747","111/08/25","6767","台微醫","111/08/26~111/09/08","因連續3個營業日達本中心作業要點第四條第一項第一款","台灣微創醫療器材股份有限公司股票(代號：6767)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月26日起10個營業日(111年08月26日至111年09月08日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","41.20","N/A"
"748","111/08/24","3520","華盈","111/08/25~111/09/07","因連續3個營業日達本中心作業要點第四條第一項第一款","華盈電子股份有限公司股票(代號：3520)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月25日起10個營業日(111年08月25日至111年09月07日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","25.35","21.85"
"749","111/08/24","6649","台生材","111/08/25~111/09/07","因連續3個營業日達本中心作業要點第四條第一項第一款","台灣生醫材料股份有限公司股票(代號：6649)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月25日起10個營業日(111年08月25日至111年09月07日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","40.50","N/A"
"750","111/08/23","2230","泰茂","111/08/24~111/09/06","因連續3個營業日達本中心作業要點第四條第一項第一款","泰茂實業股份有限公司股票(代號：2230)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月24日起10個營業日(111年08月24日至111年09月06日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","31.75","10.05"
"751","111/08/23","5205","中茂","111/08/24~111/09/06","因連續3個營業日達本中心作業要點第四條第一項第一款","中茂能資系統整合科技(股)公司股票(代號：5205)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月24日起10個營業日(111年08月24日至111年09月06日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","45.00","40.54"
"752","111/08/23","6461","益得","111/08/24~111/09/06","因連續3個營業日達本中心作業要點第四條第一項第一款","益得生物科技股份有限公司股票(代號：6461)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月24日起10個營業日(111年08月24日至111年09月06日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","40.70","N/A"
"753","111/08/18","6472","保瑞","111/08/19~111/09/05","連續3個營業日及沖銷標準","保瑞藥業股份有限公司股票(代號：6472)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自111年08月19日起12個營業日(111年08月19日至111年09月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","319.50","31.42"
"754","111/08/17","4413","飛寶企業","111/08/18~111/08/31","因連續3個營業日達本中心作業要點第四條第一項第一款","飛寶企業股份有限公司股票(代號：4413)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月18日起10個營業日(111年08月18日至111年08月31日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","29.90","25.34"
"755","111/08/16","6643","M31","111/08/17~111/08/30","因連續3個營業日達本中心作業要點第四條第一項第一款","?星科技股份有限公司股票(代號：6643)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月17日起10個營業日(111年08月17日至111年08月30日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","331.00","37.96"
"756","111/08/15","6103","合邦","111/08/16~111/08/29","因連續3個營業日達本中心作業要點第四條第一項第一款","合邦電子股份有限公司股票(代號：6103)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月16日起10個營業日(111年08月16日至111年08月29日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每45分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","7.65","N/A"
"757","111/08/11","8097","常珵","111/08/12~111/08/25","連續5個營業日","常珵科技股份有限公司股票(代號：8097)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自111年08月12日起10個營業日(111年08月12日至111年08月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","79.00","329.17"
"758","111/08/11","80972","常珵二","111/08/12~111/08/25","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","常珵科技股份有限公司股票(代號：8097)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自111年08月12日起10個營業日(111年08月12日至111年08月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對常珵科技股份有限公司國內第二次有擔保轉換公司債（代號：80972）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","370.00","N/A"
"759","111/08/08","6512","啟發電","111/08/09~111/08/22","因連續3個營業日達本中心作業要點第四條第一項第一款","啟發電子股份有限公司股票(代號：6512)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年08月09日起10個營業日(111年08月09日至111年08月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","27.50","2,750.00"
"760","111/07/21","3362","先進光","111/07/22~111/08/08","連續3個營業日及沖銷標準","先進光電科技股份有限公司股票(代號：3362)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自111年07月22日起12個營業日(111年07月22日至111年08月08日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","77.30","138.04"
"761","111/07/11","728846","茂達群益18購02","111/07/12~111/07/25","因連續3個營業日達本中心作業要點第四條第一項第一款","茂達群益18購02權證(代號：728846)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年07月12日起10個營業日(111年07月12日至111年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","5.50","N/A"
"762","111/07/08","6143","振曜","111/07/11~111/07/22","因連續3個營業日達本中心作業要點第四條第一項第一款","振曜科技股份有限公司股票(代號：6143)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年07月11日起10個營業日(111年07月11日至111年07月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","43.70","14.57"
"763","111/07/06","3675","德微","111/07/07~111/07/20","因連續3個營業日達本中心作業要點第四條第一項第一款","德微科技股份有限公司股票(代號：3675)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年07月07日起10個營業日(111年07月07日至111年07月20日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","176.50","20.10"
"764","111/07/04","3228","金麗科","111/07/05~111/07/18","最近10個營業日內有6個營業日","金麗科技股份有限公司股票(代號：3228)因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自111年07月05日起10個營業日(111年07月05日至111年07月18日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","270.50","106.50"
"765","111/07/01","3675","德微","111/07/04~111/07/19","連續3個營業日及沖銷標準","德微科技股份有限公司股票(代號：3675)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自111年07月04日起12個營業日(111年07月04日至111年07月19日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","214.00","24.37"
"766","111/07/01","8097","常珵","111/07/04~111/07/15","最近10個營業日內有6個營業日","常珵科技股份有限公司股票(代號：8097)最近30個營業日內曾發布處置，又因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自111年07月04日起10個營業日(111年07月04日至111年07月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","66.50","277.08"
"767","111/07/01","80972","常珵二","111/07/04~111/07/15","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","常珵科技股份有限公司股票(代號：8097)最近30個營業日內曾發布處置，又因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自111年07月04日起10個營業日(111年07月04日至111年07月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對常珵科技股份有限公司國內第二次有擔保轉換公司債（代號：80972）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","346.00","N/A"
"768","111/06/29","3508","位速","111/06/30~111/07/15","連續3個營業日及沖銷標準","位速科技股份有限公司股票(代號：3508)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自111年06月30日起12個營業日(111年06月30日至111年07月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","39.00","N/A"
"769","111/06/28","3205","佰研","111/06/29~111/07/14","連續3個營業日及沖銷標準","佰研生化科技股份有限公司股票(代號：3205)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自111年06月29日起12個營業日(111年06月29日至111年07月14日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","39.00","N/A"
"770","111/06/22","4911","德英","111/06/23~111/07/06","因連續3個營業日達本中心作業要點第四條第一項第一款","德英生物科技股份有限公司股票(代號：4911)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年06月23日起10個營業日(111年06月23日至111年07月06日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","60.30","N/A"
"771","111/06/22","84671","波力一KY","111/06/23~111/07/06","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司波力環球企業股份有限公司股票(代號：8467)因連續3個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自111年06月23日起10個營業日(111年06月23日至111年07月06日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對波力環球企業股份有限公司中華民國境內第一次有擔保轉換公司債（代號：84671）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","108.40","N/A"
"772","111/06/17","4911","德英","111/06/20~111/07/01","因連續3個營業日達本中心作業要點第四條第一項第一款","德英生物科技股份有限公司股票(代號：4911)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年06月20日起10個營業日(111年06月20日至111年07月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","50.00","N/A"
"773","111/06/14","3252","海灣","111/06/15~111/06/30","連續3個營業日及沖銷標準","海灣國際開發(股)公司股票(代號：3252)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自111年06月15日起12個營業日(111年06月15日至111年06月30日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","26.20","33.59"
"774","111/06/10","4402","福大","111/06/13~111/06/24","因連續3個營業日達本中心作業要點第四條第一項第一款","福大材料科技股份有限公司股票(代號：4402)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年06月13日起10個營業日(111年06月13日至111年06月24日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","12.65","N/A"
"775","111/06/07","2745","五福","111/06/08~111/06/21","因連續3個營業日達本中心作業要點第四條第一項第一款","五福旅行社股份有限公司股票(代號：2745)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年06月08日起10個營業日(111年06月08日至111年06月21日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","56.00","N/A"
"776","111/06/06","8097","常珵","111/06/07~111/06/20","最近10個營業日內有6個營業日","常珵科技股份有限公司股票(代號：8097)因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自111年06月07日起10個營業日(111年06月07日至111年06月20日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","79.30","330.42"
"777","111/06/06","80972","常珵二","111/06/07~111/06/20","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","常珵科技股份有限公司股票(代號：8097)因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自111年06月07日起10個營業日(111年06月07日至111年06月20日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對常珵科技股份有限公司國內第二次有擔保轉換公司債（代號：80972）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","352.00","N/A"
"778","111/06/01","5205","中茂","111/06/02~111/06/16","因連續3個營業日達本中心作業要點第四條第一項第一款","中茂能資系統整合科技(股)公司股票(代號：5205)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年06月02日起10個營業日(111年06月02日至111年06月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","21.60","N/A"
"779","111/06/01","80972","常珵二","111/06/02~111/06/16","因連續3個營業日達本中心作業要點第四條第一項第一款","常珵科技股份有限公司國內第二次有擔保轉換公司債(代號：80972)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年06月02日起10個營業日(111年06月02日至111年06月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","320.00","N/A"
"780","111/05/31","8068","全達","111/06/01~111/06/15","因連續3個營業日達本中心作業要點第四條第一項第一款","全達國際股份有限公司股票(代號：8068)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年06月01日起10個營業日(111年06月01日至111年06月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","38.80","N/A"
"781","111/05/24","3466","致振","111/05/25~111/06/08","因連續3個營業日達本中心作業要點第四條第一項第一款","致振企業股份有限公司股票(代號：3466)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年05月25日起10個營業日(111年05月25日至111年06月08日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","26.35","N/A"
"782","111/05/24","4944","兆遠","111/05/25~111/06/08","因連續3個營業日達本中心作業要點第四條第一項第一款","兆遠科技股份有限公司股票(代號：4944)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自111年05月25日起10個營業日(111年05月25日至111年06月08日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每60分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","12.60","N/A"
"783","111/05/23","24822","連宇二","111/05/24~111/06/07","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司連宇股份有限公司股票(代號：2482)最近30個營業日內曾發布處置，又因連續3個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自111年05月24日起10個營業日(111年05月24日至111年06月07日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對連宇股份有限公司國內第二次有擔保轉換公司債（代號：24822）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","155.00","N/A"
"784","111/05/18","24822","連宇二","111/05/19~111/06/01","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司連宇股份有限公司股票(代號：2482)因連續3個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自111年05月19日起10個營業日(111年05月19日至111年06月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對連宇股份有限公司國內第二次有擔保轉換公司債（代號：24822）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","141.95","N/A"
